iter	Passed	Remaining
0	145	144884
1	146	73263
2	148	49271
3	150	37406
4	151	30227
5	154	25531
6	156	22177
7	158	19630
8	159	17585
9	161	15955
10	162	14609
11	163	13482
12	165	12536
13	167	11798
14	169	11130
15	172	10585
16	173	10033
17	174	9534
18	175	9085
19	177	8677
20	178	8330
21	180	8031
22	182	7758
23	184	7518
24	186	7288
25	188	7054
26	189	6828
27	190	6621
28	192	6433
29	193	6259
30	196	6147
31	199	6023
32	202	5932
33	203	5789
34	205	5652
35	206	5537
36	208	5417
37	211	5341
38	213	5262
39	215	5177
40	217	5082
41	218	4982
42	219	4889
43	220	4799
44	222	4717
45	225	4673
46	227	4617
47	230	4569
48	232	4507
49	233	4443
50	235	4375
51	236	4309
52	237	4246
53	240	4209
54	242	4171
55	245	4137
56	247	4087
57	248	4042
58	250	3999
59	252	3950
60	255	3926
61	259	3926
62	261	3889
63	262	3843
64	265	3815
65	266	3772
66	268	3745
67	271	3716
68	273	3696
69	275	3659
70	276	3622
71	278	3584
72	279	3547
73	280	3513
74	283	3493
75	286	3487
76	288	3462
77	290	3429
78	291	3396
79	292	3363
80	294	3336
81	295	3306
82	296	3271
83	298	3255
84	301	3248
85	303	3223
86	304	3197
87	305	3170
88	307	3144
89	308	3117
90	309	3093
91	310	3068
92	313	3061
93	316	3052
94	318	3033
95	319	3011
96	321	2988
97	322	2965
98	323	2944
99	324	2922
100	327	2913
101	330	2910
102	333	2901
103	334	2886
104	336	2866
105	337	2846
106	338	2826
107	341	2820
108	345	2821
109	347	2813
110	349	2796
111	350	2779
112	351	2761
113	353	2744
114	354	2731
115	357	2723
116	359	2710
117	361	2703
118	363	2688
119	364	2674
120	366	2661
121	368	2650
122	371	2649
123	374	2643
124	375	2630
125	376	2614
126	378	2598
127	379	2583
128	380	2568
129	381	2553
130	383	2542
131	386	2543
132	388	2535
133	390	2521
134	391	2507
135	392	2492
136	393	2479
137	395	2468
138	396	2454
139	398	2450
140	401	2442
141	402	2429
142	403	2418
143	404	2406
144	405	2393
145	407	2382
146	409	2373
147	410	2361
148	412	2355
149	414	2349
150	417	2345
151	419	2341
152	421	2331
153	422	2320
154	423	2310
155	425	2301
156	427	2295
157	429	2287
158	432	2285
159	433	2276
160	434	2263
161	435	2253
162	436	2243
163	438	2233
164	439	2225
165	441	2219
166	444	2215
167	446	2212
168	448	2203
169	449	2196
170	451	2186
171	452	2177
172	453	2169
173	456	2166
174	459	2167
175	461	2161
176	463	2154
177	464	2146
178	466	2138
179	467	2129
180	468	2120
181	471	2117
182	474	2116
183	476	2113
184	477	2105
185	478	2095
186	480	2087
187	481	2079
188	482	2071
189	484	2066
190	488	2069
191	490	2065
192	492	2057
193	493	2049
194	494	2041
195	495	2033
196	496	2025
197	499	2024
198	502	2023
199	505	2021
200	506	2014
201	508	2007
202	509	1999
203	510	1992
204	511	1984
205	516	1991
206	519	1989
207	520	1982
208	522	1977
209	523	1969
210	524	1962
211	526	1955
212	527	1948
213	529	1945
214	532	1942
215	534	1939
216	535	1933
217	537	1926
218	538	1920
219	539	1912
220	540	1905
221	542	1899
222	543	1895
223	548	1901
224	550	1896
225	552	1890
226	553	1884
227	554	1877
228	555	1871
229	558	1868
230	560	1865
231	563	1864
232	565	1860
233	566	1853
234	567	1847
235	568	1841
236	570	1835
237	572	1832
238	574	1829
239	577	1829
240	579	1824
241	580	1818
242	581	1812
243	583	1806
244	584	1800
245	585	1795
246	587	1791
247	591	1793
248	593	1789
249	594	1784
250	596	1779
251	597	1773
252	599	1769
253	601	1766
254	603	1763
255	606	1762
256	607	1757
257	609	1752
258	611	1748
259	612	1743
260	613	1738
261	616	1735
262	618	1733
263	620	1731
264	622	1726
265	624	1722
266	625	1716
267	626	1711
268	627	1706
269	630	1703
270	633	1703
271	635	1700
272	636	1695
273	637	1690
274	639	1685
275	640	1679
276	642	1677
277	643	1672
278	646	1669
279	647	1665
280	649	1661
281	650	1656
282	652	1652
283	653	1647
284	654	1642
285	655	1637
286	657	1632
287	660	1632
288	662	1630
289	664	1626
290	665	1622
291	667	1617
292	668	1613
293	669	1608
294	670	1603
295	672	1598
296	674	1596
297	678	1597
298	680	1595
299	681	1590
300	683	1586
301	684	1581
302	685	1577
303	687	1573
304	690	1572
305	692	1571
306	695	1568
307	696	1564
308	697	1560
309	699	1556
310	700	1551
311	701	1547
312	704	1545
313	707	1544
314	709	1541
315	710	1537
316	711	1532
317	712	1528
318	713	1523
319	714	1518
320	715	1513
321	718	1513
322	722	1513
323	724	1510
324	725	1506
325	726	1502
326	727	1498
327	729	1493
328	730	1489
329	732	1487
330	735	1485
331	737	1483
332	738	1479
333	741	1478
334	743	1475
335	744	1471
336	745	1467
337	749	1467
338	751	1464
339	752	1461
340	754	1457
341	755	1453
342	756	1449
343	757	1445
344	759	1441
345	762	1440
346	766	1441
347	767	1438
348	769	1434
349	770	1431
350	772	1427
351	773	1423
352	775	1421
353	778	1420
354	780	1417
355	782	1414
356	783	1410
357	784	1406
358	785	1402
359	786	1398
360	788	1395
361	790	1394
362	792	1391
363	794	1387
364	795	1384
365	796	1380
366	797	1376
367	799	1372
368	800	1368
369	801	1364
370	803	1361
371	805	1359
372	807	1356
373	808	1353
374	809	1349
375	810	1345
376	812	1342
377	813	1338
378	814	1335
379	816	1331
380	817	1327
381	818	1324
382	821	1323
383	823	1321
384	824	1317
385	825	1313
386	826	1309
387	828	1307
388	830	1304
389	832	1301
390	833	1297
391	836	1298
392	838	1295
393	839	1291
394	841	1288
395	842	1285
396	844	1282
397	846	1279
398	848	1278
399	852	1278
400	853	1274
401	854	1270
402	857	1270
403	859	1268
404	861	1264
405	863	1263
406	865	1261
407	867	1258
408	869	1256
409	871	1253
410	872	1250
411	874	1247
412	875	1244
413	876	1240
414	878	1238
